,juror,country,fight,role,score,participant,problem,round,fightName
0,Aleksandr Svetlichnyi,France,1,Rep,5.0,Amazigh Ouzriat,3. Dirty racing,1,Selective Fight 1| Room PF Room 4| Round 1
120,Aleksandr Svetlichnyi,Pakistan,2,Rep,3.0,Qasim Muhammad,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
121,Aleksandr Svetlichnyi,Slovenia,2,Opp,6.0,Vitja Beltram,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
122,Duy Nguyen Van,Pakistan,2,Rep,6.0,Qasim Muhammad,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
123,Duy Nguyen Van,Slovenia,2,Opp,6.0,Vitja Beltram,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
124,Ivan Rojkov,Pakistan,2,Rep,6.0,Qasim Muhammad,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
125,Ivan Rojkov,Slovenia,2,Opp,8.0,Vitja Beltram,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
126,Pierre-Louis de Assis,Pakistan,2,Rep,5.0,Qasim Muhammad,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
127,Pierre-Louis de Assis,Slovenia,2,Opp,6.0,Vitja Beltram,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 5| Round 1
128,Aleksandr Svetlichnyi,Slovenia,2,Rep,5.0,Maks Repše,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
129,Aleksandr Svetlichnyi,Pakistan,2,Opp,6.0,Sabah Ud Din Ahmad,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
130,Duy Nguyen Van,Slovenia,2,Rep,7.0,Maks Repše,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
131,Duy Nguyen Van,Pakistan,2,Opp,6.0,Sabah Ud Din Ahmad,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
132,Ivan Rojkov,Slovenia,2,Rep,4.0,Maks Repše,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
133,Ivan Rojkov,Pakistan,2,Opp,5.0,Sabah Ud Din Ahmad,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
134,Pierre-Louis de Assis,Slovenia,2,Rep,5.0,Maks Repše,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
135,Pierre-Louis de Assis,Pakistan,2,Opp,6.0,Sabah Ud Din Ahmad,8. Heavy parachute,2,Selective Fight 2| Room PF Room 5| Round 2
136,Aeysha Khalique,Sweden,2,Rep,6.0,Rebecka Mårtensson,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
137,Aeysha Khalique,Ukraine,2,Opp,9.0,Oleh Ivashtenko,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
138,Claire Marrache,Sweden,2,Rep,5.0,Rebecka Mårtensson,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
