,juror,country,fight,role,score,participant,problem,round,fightName
834,Simon Luca Villani,France – École polytechnique,3,Rep,9.0,Mathieu Lizee,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
835,Simon Luca Villani,Russia – MIPT,3,Opp,6.0,Kirill Voronin,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
836,Simon Luca Villani,India,3,Mod,7.0,Pranav Sateesh,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
837,Suzanne Andersen,France – École polytechnique,3,Rep,9.0,Mathieu Lizee,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
838,Suzanne Andersen,Russia – MIPT,3,Opp,7.0,Kirill Voronin,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
839,Suzanne Andersen,India,3,Mod,8.0,Pranav Sateesh,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
840,Tkalcec Vaju Iva,France – École polytechnique,3,Rep,8.0,Mathieu Lizee,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
841,Tkalcec Vaju Iva,Russia – MIPT,3,Opp,6.0,Kirill Voronin,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
842,Tkalcec Vaju Iva,India,3,Mod,6.0,Pranav Sateesh,15. Pouring a Sandcastle,1,Selective Fight 3| Room CO122| Round 1
843,Andreas Isacsson,Greece,3,Rep,5.0,Christos Andrikopoulos,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
844,Andreas Isacsson,USA,3,Opp,5.0,Anthony Khodanian,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
845,Andreas Isacsson,Colombia,3,Mod,8.0,Juan Pacheco Arias,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
846,Antoine Pochelon,Greece,3,Rep,5.0,Christos Andrikopoulos,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
847,Antoine Pochelon,USA,3,Opp,6.0,Anthony Khodanian,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
848,Antoine Pochelon,Colombia,3,Mod,8.0,Juan Pacheco Arias,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
849,Jérémy Ferrand,Greece,3,Rep,5.0,Christos Andrikopoulos,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
850,Jérémy Ferrand,USA,3,Opp,7.0,Anthony Khodanian,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
851,Jérémy Ferrand,Colombia,3,Mod,9.0,Juan Pacheco Arias,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
852,Michael Wagenpfeil,Greece,3,Rep,4.0,Christos Andrikopoulos,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
853,Michael Wagenpfeil,USA,3,Opp,5.0,Anthony Khodanian,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
854,Michael Wagenpfeil,Colombia,3,Mod,9.0,Juan Pacheco Arias,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
855,Sergei Zhabin,Greece,3,Rep,6.0,Christos Andrikopoulos,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
856,Sergei Zhabin,USA,3,Opp,6.0,Anthony Khodanian,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
857,Sergei Zhabin,Colombia,3,Mod,7.0,Juan Pacheco Arias,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
858,Sonia Natale,Greece,3,Rep,6.0,Christos Andrikopoulos,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
859,Sonia Natale,USA,3,Opp,6.0,Anthony Khodanian,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
860,Sonia Natale,Colombia,3,Mod,7.0,Juan Pacheco Arias,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
861,Vsevolod Zhdanov,Greece,3,Rep,5.0,Christos Andrikopoulos,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
862,Vsevolod Zhdanov,USA,3,Opp,6.0,Anthony Khodanian,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
863,Vsevolod Zhdanov,Colombia,3,Mod,7.0,Juan Pacheco Arias,17. Lab Shock Diamonds,1,Selective Fight 3| Room CO015| Round 1
864,Andreas Isacsson,USA,3,Rep,8.0,Anthony Khodanian,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
865,Andreas Isacsson,Colombia,3,Opp,4.0,Steven Rico,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
866,Andreas Isacsson,Greece,3,Mod,4.0,Christina Sofra,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
867,Antoine Pochelon,USA,3,Rep,8.0,Anthony Khodanian,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
868,Antoine Pochelon,Colombia,3,Opp,7.0,Steven Rico,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
869,Antoine Pochelon,Greece,3,Mod,6.0,Christina Sofra,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
870,Jérémy Ferrand,USA,3,Rep,7.0,Anthony Khodanian,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
871,Jérémy Ferrand,Colombia,3,Opp,4.0,Steven Rico,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
872,Jérémy Ferrand,Greece,3,Mod,8.0,Christina Sofra,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
873,Michael Wagenpfeil,USA,3,Rep,6.0,Anthony Khodanian,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
874,Michael Wagenpfeil,Colombia,3,Opp,6.0,Steven Rico,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
875,Michael Wagenpfeil,Greece,3,Mod,6.0,Christina Sofra,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
876,Sergei Zhabin,USA,3,Rep,7.0,Anthony Khodanian,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
877,Sergei Zhabin,Colombia,3,Opp,6.0,Steven Rico,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
878,Sergei Zhabin,Greece,3,Mod,5.0,Christina Sofra,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
879,Sonia Natale,USA,3,Rep,8.0,Anthony Khodanian,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
880,Sonia Natale,Colombia,3,Opp,8.0,Steven Rico,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
881,Sonia Natale,Greece,3,Mod,6.0,Christina Sofra,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
882,Vsevolod Zhdanov,USA,3,Rep,8.0,Anthony Khodanian,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
883,Vsevolod Zhdanov,Colombia,3,Opp,6.0,Steven Rico,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
884,Vsevolod Zhdanov,Greece,3,Mod,5.0,Christina Sofra,14. Solar cell characterizer,2,Selective Fight 3| Room CO015| Round 2
885,Arsène Chemin,Italy,3,Rep,4.0,David Meinardi,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
886,Arsène Chemin,Croatia,3,Opp,9.0,Aleksandar Opančar,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
887,Arsène Chemin,Australia,3,Mod,7.0,Shaun McAnally,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
888,Aurore Rudolf,Italy,3,Rep,6.0,David Meinardi,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
889,Aurore Rudolf,Croatia,3,Opp,7.0,Aleksandar Opančar,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
890,Aurore Rudolf,Australia,3,Mod,7.0,Shaun McAnally,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
891,Mark Bochkov,Italy,3,Rep,3.0,David Meinardi,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
892,Mark Bochkov,Croatia,3,Opp,7.0,Aleksandar Opančar,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
893,Mark Bochkov,Australia,3,Mod,7.0,Shaun McAnally,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
894,Peter Vesborg,Italy,3,Rep,3.0,David Meinardi,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
895,Peter Vesborg,Croatia,3,Opp,7.0,Aleksandar Opančar,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
896,Peter Vesborg,Australia,3,Mod,7.0,Shaun McAnally,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
897,Piotr Podlaski,Italy,3,Rep,3.0,David Meinardi,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
898,Piotr Podlaski,Croatia,3,Opp,7.0,Aleksandar Opančar,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
899,Piotr Podlaski,Australia,3,Mod,7.0,Shaun McAnally,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
900,Richard Benoit,Italy,3,Rep,4.0,David Meinardi,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
901,Richard Benoit,Croatia,3,Opp,5.0,Aleksandar Opančar,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
902,Richard Benoit,Australia,3,Mod,2.0,Shaun McAnally,9. Rail track divination,2,Selective Fight 3| Room CO124| Round 2
903,Aake Andersson,Russia – MIPT,3,Rep,6.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
904,Aake Andersson,India,3,Opp,6.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
905,Aake Andersson,France – École polytechnique,3,Mod,8.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
906,Daniil Sytnikov,Russia – MIPT,3,Rep,6.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
907,Daniil Sytnikov,India,3,Opp,7.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
908,Daniil Sytnikov,France – École polytechnique,3,Mod,8.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
909,Dirk Van der Marel,Russia – MIPT,3,Rep,6.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
910,Dirk Van der Marel,India,3,Opp,7.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
911,Dirk Van der Marel,France – École polytechnique,3,Mod,8.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
912,Michele Guizzardi,Russia – MIPT,3,Rep,6.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
913,Michele Guizzardi,India,3,Opp,7.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
914,Michele Guizzardi,France – École polytechnique,3,Mod,7.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
915,Schneider Olivier,Russia – MIPT,3,Rep,5.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
916,Schneider Olivier,India,3,Opp,8.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
917,Schneider Olivier,France – École polytechnique,3,Mod,7.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
918,Simon Luca Villani,Russia – MIPT,3,Rep,5.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
919,Simon Luca Villani,India,3,Opp,6.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
920,Simon Luca Villani,France – École polytechnique,3,Mod,8.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
921,Suzanne Andersen,Russia – MIPT,3,Rep,3.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
922,Suzanne Andersen,India,3,Opp,6.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
923,Suzanne Andersen,France – École polytechnique,3,Mod,8.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
924,Tkalcec Vaju Iva,Russia – MIPT,3,Rep,3.0,Igor Zhuravlev,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
925,Tkalcec Vaju Iva,India,3,Opp,7.0,Pranav Sateesh,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
926,Tkalcec Vaju Iva,France – École polytechnique,3,Mod,8.0,Han Yu Sit,10. Cup flyers,2,Selective Fight 3| Room CO122| Round 2
927,Anastasiia Chervinskaia,Ukraine - TSNUK,3,Rep,6.0,Kostiantyn  Sakhatskyi,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
928,Anastasiia Chervinskaia,France – Université de Lyon,3,Opp,8.0,Rémi Faure,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
929,Anastasiia Chervinskaia,Denmark,3,Mod,7.0,Lise Grüner Hanson,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
930,Andrew Penton,Ukraine - TSNUK,3,Rep,6.0,Kostiantyn  Sakhatskyi,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
931,Andrew Penton,France – Université de Lyon,3,Opp,7.0,Rémi Faure,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
932,Andrew Penton,Denmark,3,Mod,6.0,Lise Grüner Hanson,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
933,Marcin Swillo,Ukraine - TSNUK,3,Rep,7.0,Kostiantyn  Sakhatskyi,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
934,Marcin Swillo,France – Université de Lyon,3,Opp,6.0,Rémi Faure,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
935,Marcin Swillo,Denmark,3,Mod,8.0,Lise Grüner Hanson,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
936,Marko Jerčić,Ukraine - TSNUK,3,Rep,5.0,Kostiantyn  Sakhatskyi,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
937,Marko Jerčić,France – Université de Lyon,3,Opp,6.0,Rémi Faure,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
938,Marko Jerčić,Denmark,3,Mod,5.0,Lise Grüner Hanson,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
939,Natacha Brugger,Ukraine - TSNUK,3,Rep,5.0,Kostiantyn  Sakhatskyi,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
940,Natacha Brugger,France – Université de Lyon,3,Opp,8.0,Rémi Faure,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
941,Natacha Brugger,Denmark,3,Mod,9.0,Lise Grüner Hanson,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
942,Nina Samylova,Ukraine - TSNUK,3,Rep,5.0,Kostiantyn  Sakhatskyi,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
943,Nina Samylova,France – Université de Lyon,3,Opp,7.0,Rémi Faure,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
944,Nina Samylova,Denmark,3,Mod,8.0,Lise Grüner Hanson,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
945,Zakhar Maizelis,Ukraine - TSNUK,3,Rep,6.0,Kostiantyn  Sakhatskyi,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
946,Zakhar Maizelis,France – Université de Lyon,3,Opp,6.0,Rémi Faure,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
947,Zakhar Maizelis,Denmark,3,Mod,6.0,Lise Grüner Hanson,7. Drunken glass,2,Selective Fight 3| Room CO123| Round 2
948,Daniele Mari,Germany,3,Rep,8.0,Paul Fadler,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
949,Daniele Mari,Russia – Voronezh State University + VSTU + MIPT,3,Opp,5.0,Sergei Glebov,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
950,Daniele Mari,Brazil,3,Mod,5.0,Andre Juan Ferreira Martins de Moraes,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
951,Dmytro Oliinychenko,Germany,3,Rep,7.0,Paul Fadler,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
952,Dmytro Oliinychenko,Russia – Voronezh State University + VSTU + MIPT,3,Opp,7.0,Sergei Glebov,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
953,Dmytro Oliinychenko,Brazil,3,Mod,7.0,Andre Juan Ferreira Martins de Moraes,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
954,Fabian  Cadiz,Germany,3,Rep,6.0,Paul Fadler,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
955,Fabian  Cadiz,Russia – Voronezh State University + VSTU + MIPT,3,Opp,7.0,Sergei Glebov,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
956,Fabian  Cadiz,Brazil,3,Mod,7.0,Andre Juan Ferreira Martins de Moraes,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
957,Frederic de Montmolin,Germany,3,Rep,8.0,Paul Fadler,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
958,Frederic de Montmolin,Russia – Voronezh State University + VSTU + MIPT,3,Opp,9.0,Sergei Glebov,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
959,Frederic de Montmolin,Brazil,3,Mod,9.0,Andre Juan Ferreira Martins de Moraes,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
960,Krzysztof Turzynski,Germany,3,Rep,6.0,Paul Fadler,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
961,Krzysztof Turzynski,Russia – Voronezh State University + VSTU + MIPT,3,Opp,6.0,Sergei Glebov,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
962,Krzysztof Turzynski,Brazil,3,Mod,4.0,Andre Juan Ferreira Martins de Moraes,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
963,Oskari Pakari,Germany,3,Rep,8.0,Paul Fadler,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
964,Oskari Pakari,Russia – Voronezh State University + VSTU + MIPT,3,Opp,7.0,Sergei Glebov,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
965,Oskari Pakari,Brazil,3,Mod,6.0,Andre Juan Ferreira Martins de Moraes,17. Lab Shock Diamonds,2,Selective Fight 3| Room CO016| Round 2
966,Anastasiia Vasylchenkova,Switzerland,3,Rep,6.0,Vincent Masson,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
967,Anastasiia Vasylchenkova,Ukraine - National University of Kharkiv,3,Opp,8.0,Hryhorii Ovcharenko,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
968,Anastasiia Vasylchenkova,Poland,3,Mod,8.0,Jerzy Szuniewicz,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
969,Jakob Pedersen,Switzerland,3,Rep,7.0,Vincent Masson,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
970,Jakob Pedersen,Ukraine - National University of Kharkiv,3,Opp,6.0,Hryhorii Ovcharenko,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
971,Jakob Pedersen,Poland,3,Mod,5.0,Jerzy Szuniewicz,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
972,Nicolas Taberlet,Switzerland,3,Rep,7.0,Vincent Masson,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
973,Nicolas Taberlet,Ukraine - National University of Kharkiv,3,Opp,6.0,Hryhorii Ovcharenko,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
974,Nicolas Taberlet,Poland,3,Mod,7.0,Jerzy Szuniewicz,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
975,Nicoletta Mauri,Switzerland,3,Rep,7.0,Vincent Masson,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
976,Nicoletta Mauri,Ukraine - National University of Kharkiv,3,Opp,7.0,Hryhorii Ovcharenko,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
977,Nicoletta Mauri,Poland,3,Mod,6.0,Jerzy Szuniewicz,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
978,Nikolai Lysenko,Switzerland,3,Rep,5.0,Vincent Masson,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
979,Nikolai Lysenko,Ukraine - National University of Kharkiv,3,Opp,6.0,Hryhorii Ovcharenko,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
980,Nikolai Lysenko,Poland,3,Mod,8.0,Jerzy Szuniewicz,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
981,Oleg Bezshyyko,Switzerland,3,Rep,7.0,Vincent Masson,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
982,Oleg Bezshyyko,Ukraine - National University of Kharkiv,3,Opp,7.0,Hryhorii Ovcharenko,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
983,Oleg Bezshyyko,Poland,3,Mod,7.0,Jerzy Szuniewicz,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
984,Stefan Richter,Switzerland,3,Rep,7.0,Vincent Masson,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
985,Stefan Richter,Ukraine - National University of Kharkiv,3,Opp,7.0,Hryhorii Ovcharenko,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
986,Stefan Richter,Poland,3,Mod,5.0,Jerzy Szuniewicz,7. Drunken glass,1,Selective Fight 3| Room CO017| Round 1
987,Andreas Isacsson,Colombia,3,Rep,6.0,Laura Martínez Ramírez,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
988,Andreas Isacsson,Greece,3,Opp,5.0,Christos Andrikopoulos,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
989,Andreas Isacsson,USA,3,Mod,6.0,Shantanu Kadam,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
990,Antoine Pochelon,Colombia,3,Rep,9.0,Laura Martínez Ramírez,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
991,Antoine Pochelon,Greece,3,Opp,8.0,Christos Andrikopoulos,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
992,Antoine Pochelon,USA,3,Mod,7.0,Shantanu Kadam,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
993,Jérémy Ferrand,Colombia,3,Rep,6.0,Laura Martínez Ramírez,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
994,Jérémy Ferrand,Greece,3,Opp,9.0,Christos Andrikopoulos,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
995,Jérémy Ferrand,USA,3,Mod,2.0,Shantanu Kadam,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
996,Michael Wagenpfeil,Colombia,3,Rep,8.0,Laura Martínez Ramírez,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
997,Michael Wagenpfeil,Greece,3,Opp,6.0,Christos Andrikopoulos,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
998,Michael Wagenpfeil,USA,3,Mod,7.0,Shantanu Kadam,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
999,Sergei Zhabin,Colombia,3,Rep,8.0,Laura Martínez Ramírez,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1000,Sergei Zhabin,Greece,3,Opp,7.0,Christos Andrikopoulos,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1001,Sergei Zhabin,USA,3,Mod,7.0,Shantanu Kadam,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1002,Sonia Natale,Colombia,3,Rep,8.0,Laura Martínez Ramírez,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1003,Sonia Natale,Greece,3,Opp,8.0,Christos Andrikopoulos,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1004,Sonia Natale,USA,3,Mod,8.0,Shantanu Kadam,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1005,Vsevolod Zhdanov,Colombia,3,Rep,6.0,Laura Martínez Ramírez,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1006,Vsevolod Zhdanov,Greece,3,Opp,7.0,Christos Andrikopoulos,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1007,Vsevolod Zhdanov,USA,3,Mod,6.0,Shantanu Kadam,3. Apples and Oranges,3,Selective Fight 3| Room CO015| Round 3
1008,Arsène Chemin,Croatia,3,Rep,6.0,Ivan Žugec,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1009,Arsène Chemin,Australia,3,Opp,6.0,Ahmad Mohit,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1010,Arsène Chemin,Sweden,3,Mod,5.0,Marcus Alm,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1011,Aurore Rudolf,Croatia,3,Rep,6.0,Ivan Žugec,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1012,Aurore Rudolf,Australia,3,Opp,7.0,Ahmad Mohit,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1013,Aurore Rudolf,Sweden,3,Mod,7.0,Marcus Alm,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1014,Mark Bochkov,Croatia,3,Rep,4.0,Ivan Žugec,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1015,Mark Bochkov,Australia,3,Opp,7.0,Ahmad Mohit,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1016,Mark Bochkov,Sweden,3,Mod,8.0,Marcus Alm,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1017,Peter Vesborg,Croatia,3,Rep,5.0,Ivan Žugec,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1018,Peter Vesborg,Australia,3,Opp,5.0,Ahmad Mohit,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1019,Peter Vesborg,Sweden,3,Mod,6.0,Marcus Alm,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1020,Piotr Podlaski,Croatia,3,Rep,4.0,Ivan Žugec,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1021,Piotr Podlaski,Australia,3,Opp,6.0,Ahmad Mohit,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1022,Piotr Podlaski,Sweden,3,Mod,7.0,Marcus Alm,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1023,Richard Benoit,Croatia,3,Rep,4.0,Ivan Žugec,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1024,Richard Benoit,Australia,3,Opp,6.0,Ahmad Mohit,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1025,Richard Benoit,Sweden,3,Mod,7.0,Marcus Alm,1. Tesla coil engine,3,Selective Fight 3| Room CO124| Round 3
1026,Aake Andersson,India,3,Rep,6.0,Hiranmay Das,12. Jet charged!,3,Selective Fight 3| Room CO122| Round 3
